Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
20/12/2023,filho,bb,inappaymentcaptusao,"R$ 6,30",crédito
20/12/2023,filho,bb,mini luxo,"R$ 99,90",crédito
20/12/2023,filho,1x2,gravel kids,R$ 35,crédito
20/12/2023,Pix - Enviado,,122001,-R$ 20,saída 
21/12/2023,Compra com Cartão,,183821,-R$ 25,saída 
22/12/2023,alimentação ,bb,mercantil,"R$ 41,97",crédito
22/12/2023,carro,bb,riomar,"R$ 8,00",crédito
22/12/2023,carro,bb,eco,"R$ 100,00",crédito
22/12/2023,despesa pessoal,bb,le biscuit,"R$ 83,69",crédito
22/12/2023,despesa pessoal,bb,lebiscuit,"R$ 229,80",crédito
22/12/2023,Pagamento de Boleto,,122201,-R$ 232,saída 
24/12/2023,carro,bb,eco,"R$ 100,00",crédito
26/12/2023,Pix - Enviado,,122601,-R$ 20,saída 
27/12/2023,alimentação ,queijos ,,R$ 19,crédito
27/12/2023,carro,petrox,,R$ 100,crédito
27/12/2023,filho,farmacia,,R$ 27,crédito
27/12/2023,alimentação ,açai,,R$ 203,crédito
28/12/2023,Pix - Enviado,,122801,-R$ 410,saída 
29/12/2023,filho,drograsil,,R$ 63,crédito
31/12/2023,despesa pessoal,jobim,,R$ 158,crédito
31/12/2023,alimentação ,emporio,,R$ 18,crédito
31/12/2023,carro,ryo,,R$ 100,crédito
31/12/2023,alimentação ,regina,,R$ 80,crédito
31/12/2023,transporte ,99pay,,R$ 14,crédito
01/01/2024,filho,amazon,,R$ 92,crédito
01/01/2024,moradia,salário,,R$ 5.884,entrada
02/01/2024,moradia,iof,,R$ 5,crédito
02/01/2024,moradia,iof,,R$ 18,crédito
02/01/2024,transporte ,uber,,R$ 13,crédito
03/01/2024,alimentação ,açaí ,,R$ 299,crédito
05/01/2024,alimentação ,mp*mercadinhoide,,R$ 34,crédito
06/01/2024,carro,filial mega,,R$ 100,crédito
07/01/2024,carro,posto dom Pedro ,,R$ 180,crédito
07/01/2024,comunicação,conta vivo,,R$ 169,crédito
08/01/2024,Pix - Recebido,,5029615510,R$ 65,entrada
08/01/2024,Pix - Enviado,,10801,-R$ 156,saída 
08/01/2024,Pix - Enviado,,10802,-R$ 280,saída 
09/01/2024,Pagamento Fatura de Água,,46819,-R$ 20,saída 
10/01/2024,Transferência recebida,,603545400015303,R$ 4.817,entrada
10/01/2024,Pix - Recebido,,5067270343,R$ 925,entrada
10/01/2024,Pagamento de Boleto,,11001,-R$ 320,saída 
10/01/2024,Pagamento de Boleto,,11002,-R$ 150,saída 
10/01/2024,moradia,,,R$ 5,crédito
10/01/2024,alimentação ,açaí ,,R$ 276,crédito
10/01/2024,transporte ,99pay,,R$ 11,crédito
10/01/2024,moradia,recargapay,,R$ 2.600,crédito
10/01/2024,transporte ,99pay,,R$ 4,crédito
12/01/2024,Pagto cartão crédito,,450354500130000,-R$ 4.531,saída 
