Data,Lancamento,Detalhe,Local,Valor ,TipoDeLancamento
14/11/2024,Pix - Recebido,14/11 17:10 00031129897591 VALDETE DE,141710354401142,R$ 2.182,entrada
18/11/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,111801,-R$ 2.181,saída
01/12/2024,moradia,salário,,R$ 5.884,entrada
05/12/2024,Transferência recebida,05/12 20:29 VICTOR CESAR SANTOS MELO,603545400015303,R$ 6.307,entrada
10/12/2024,Pagamento de Boleto,PJBANK PAGAMENTOS S A,121001,-R$ 344,saída
16/12/2024,Pix - Recebido,14/12 02:41 00000719764505 VICTOR CESA,140241000569052,R$ 2.500,entrada
16/12/2024,Pix - Recebido,14/12 14:19 00031129897591 VALDETE DE,141419182770582,R$ 2.410,entrada
16/12/2024,Pagto cartão crédito,,450354500024293,-R$ 7.825,saída
16/12/2024,Pix - Enviado,14/12 07:51 Geap,121601,-R$ 241,saída
16/12/2024,Pagamento de Boleto,ENERGISA SERGIPE,121602,-R$ 248,saída
16/12/2024,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,121603,-R$ 2.420,saída
17/12/2024,Pix - Recebido,17/12 08:39 00000719764505 VICTOR CESA,170839245403282,R$ 550,entrada
17/12/2024,Pix - Enviado,17/12 08:41 Geap,121701,-R$ 600,saída
23/12/2024,Pix - Recebido,23/12 12:06 00031129897591 VALDETE DE,231206230048122,R$ 282,entrada
24/12/2024,Pix - Enviado,24/12 18:12 Alisson Da Silva Araujo,122401,-R$ 60,saída
30/12/2024,Pix - Enviado,29/12 12:15 Delson De Oliveira Costa,123001,-R$ 17,saída
31/12/2024,Dep dinheiro ATM,31/12 08:55 SOP-JARDINS-ARACAJU,833071477085555,R$ 1.000,entrada
02/01/2025,Pix - Recebido,02/01 17:54 02367675503 Manuela de Sou,358512575810471,R$ 100,entrada
02/01/2025,moradia,salário,,R$ 8.705,entrada
06/01/2025,Pix - Recebido,04/01 13:11 10786918780 Maria Jose San,360070632314201,R$ 350,entrada
06/01/2025,Pix - Recebido,06/01 16:32 06763230575 MICHEL ANTONIO,361919396643811,R$ 370,entrada
06/01/2025,Pix - Enviado,06/01 14:36 Diana Santos De Melo,10601,-R$ 1.200,saída
07/01/2025,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 87,saída
10/01/2025,Transferência recebida,10/01 18:51 VICTOR CESAR SANTOS MELO,603545000015303,R$ 6.174,entrada
10/01/2025,Pix - Recebido,"10/01 18:59 00000719764505 VICTOR CESA"",""",,R$ 2.500,entrada
10/01/2025,Pagto cartão crédito,10/01 18:59 00000719764505 VICTOR CESA,101859324913622,R$ 7.502,saída
10/01/2025,Pix - Enviado,condomínio,,R$ 344,saída
10/01/2025,Pix - Enviado,Geap,,R$ 236,saída
10/01/2025,Pix - Enviado,Geap,,R$ 446,saída
10/01/2025,Pix - Enviado,Energiza,,R$ 278,saída
10/01/2025,Pagamento de Impostos,IPTU,,R$ 183,saída
15/01/2025,Pagamento de Boleto,DEPARTAMENTO ESTADUAL DE TRANS,11501,-R$ 78,Saída
23/01/2025,TED-Crédito em Conta,341 0910 00709873000178 ACEL ADMINISTR,367265549,R$ 300,Entrada
23/01/2025,Compra com Cartão,23/01 13:21 CENTRO DE ATIVIDA,148075,-R$ 26,Saída
23/01/2025,Compra com Cartão,23/01 20:36 GAME STATION,274187,-R$ 20,Saída
23/01/2025,Compra com Cartão,23/01 21:07 GAME STATION,376066,-R$ 5,Saída
27/01/2025,Compra com Cartão,25/01 14:42 FILEZAO CARNES,152942,-R$ 17,Saída
27/01/2025,Compra com Cartão,25/01 14:49 MERCADINHO LIMA,253386,-R$ 41,Saída
27/01/2025,Compra com Cartão,25/01 14:56 MP*BARRACADANETE,353783,-R$ 12,Saída
27/01/2025,Compra com Cartão,25/01 20:13 LIVRARIA ESCARIZ,672807,-R$ 10,Saída
27/01/2025,Compra com Cartão,25/01 22:30 RIOMAR ARACAJU PA,781007,-R$ 10,Saída
29/01/2025,Compra com Cartão,29/01 17:55 PINGUIM,164524,-R$ 4,Saída
30/01/2025,Compra com Cartão,30/01 13:20 ValdeteBatistaDe,148024,-R$ 14,Saída
03/02/2025,Transferência recebida,03/02 16:09 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.424,Entrada
03/02/2025,Pix - Enviado,01/02 22:45 Assai Atacadista,20301,-R$ 459,Saída
06/02/2025,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 97,Saída
10/02/2025,Pix - Recebido,08/02 10:35 00000719764505 VICTOR CESA,81035016487332,R$ 2.600,Entrada
10/02/2025,Pix - Recebido,10/02 18:19 00003539927557 DIANA SANTO,101819145631342,R$ 100,Entrada
10/02/2025,Pagto cartão crédito,,450354500464293,-R$ 6.705,Saída
10/02/2025,Pagamento de Boleto,PJBANK PAGAMENTOS S A,21001,-R$ 344,Saída
11/02/2025,Pix - Recebido,11/02 12:14 00000719764505 VICTOR CESA,111214250922232,R$ 1.000,Entrada
11/02/2025,Pix - Enviado,11/02 12:18 Geap,21101,-R$ 241,Saída
11/02/2025,Pix - Enviado,11/02 12:22 Geap,21102,-R$ 389,Saída
11/02/2025,Pix - Enviado,11/02 12:25 Energisa Sergipe - Distrib,21103,-R$ 242,Saída
11/02/2025,Pix - Enviado,11/02 13:13 Shpp Brasil Instituicao De,21104,-R$ 10,Saída
12/02/2025,Pix - Enviado,12/02 13:08 Jose Roberto Guimaraes Est,21201,-R$ 30,Saída
14/02/2025,Dep dinheiro ATM,14/02 08:29 SOP-JARDINS-ARACAJU,833070067082904,R$ 3.004,Entrada
14/02/2025,Dep dinheiro ATM,14/02 08:30 SOP-JARDINS-ARACAJU,833070067083006,R$ 130,Entrada
14/02/2025,Pagamento de Boleto,HIPERCARD BANCO MULTIPLO S.A,21401,-R$ 2.644,Saída
19/02/2025,Pagamento de Impostos,RFB-DOC.ARREC.E-SOCIAL,21901,-R$ 417,Saída
24/02/2025,Pix - Recebido,24/02 15:12 00000719764505 VICTOR CESA,241512432839802,R$ 20,Entrada
24/02/2025,Compra com Cartão,24/02 08:28 POSTO JARDIM EUROPA,130531,-R$ 150,Saída
24/02/2025,Pix - Enviado,24/02 15:14 Shpp Brasil Instituicao De,22401,-R$ 34,Saída
26/02/2025,Pix-Envio devolvido,26/02 09:39 SHPP BRASIL INSTITUICAO DE,260939016233982,R$ 10,Entrada
28/02/2025,Compra com Cartão,28/02 12:07 HappyMarket,143638,-R$ 3,Saída
28/02/2025,Pix - Enviado,28/02 10:06 Willames Dos Santos Vieira,22801,-R$ 5,Saída
28/02/2025,Saldo Anterior,,,R$ 6,
05/03/2025,Transferência recebida,05/03 20:06 VICTOR CESAR SANTOS MELO,603545400015303,R$ 4.417,Entrada
05/03/2025,Compra com Cartão,04/03 23:26 HappyMarket,184373,-R$ 3,Saída
05/03/2025,Pagto cartão crédito,,450354500034293,-R$ 2.790,Saída
05/03/2025,Pagamento de Boleto,ESPACO BRINCAR E APRENDER LTDA,30501,-R$ 1.628,Saída
10/03/2025,Pagamento Fatura de Água,DESO CIA SANEAM SERGIPE,46819,-R$ 117,Saída
10/03/2025,Estorno de Débito,DESO CIA SANEAM SERGIPE,46819,R$ 117,Entrada
11/03/2025,Pix - Recebido,11/03 21:29 00000719764505 VICTOR CESA,112129555187832,R$ 1.000,Entrada
11/03/2025,Pix - Enviado,11/03 21:32 Pjbank Pagamentos S A,31101,-R$ 458,Saída
11/03/2025,Pix - Enviado,11/03 21:40 Energisa Sergipe - Distrib,31102,-R$ 307,Saída
19/03/2025,Pix - Recebido,19/03 13:54 03539927557 DIANA SILVA SA,424032773187931,R$ 500,Entrada
19/03/2025,Pix - Enviado,19/03 13:56 Geap,31901,-R$ 241,Saída
19/03/2025,Pix - Enviado,19/03 13:59 Geap,31902,-R$ 483,Saída
20/03/2025,Compra com Cartão,20/03 13:55 ValdeteBatistaDe,150133,-R$ 14,Saída
21/03/2025,Pix - Recebido,21/03 10:12 00003539927557 DIANA SANTO,211012290911582,R$ 300,Entrada
21/03/2025,Pix - Enviado,21/03 22:01 Assai Atacadista,32101,-R$ 210,Saída
24/03/2025,Pix - Enviado,22/03 11:15 Elias Cabeleireiro,32401,-R$ 30,Saída
